,순번,영화명,평점
0,1,베테랑,4.0
1,2,암살,4.0
2,3,어벤져스: 에이지 오브 울트론,3.8
3,4,내부자들,4.0
4,5,킹스맨 : 시크릿 에이전트,4.1
5,6,사도,3.7
6,7,미션 임파서블: 로그네이션,3.8
7,8,쥬라기 월드,3.6
8,9,연평해전,3.5
9,10,검은 사제들,3.6
10,11,마션,3.9
11,12,히말라야,3.5
12,13,인사이드 아웃,4.1
13,14,매드맥스: 분노의 도로,4.2
14,15,조선명탐정 : 사라진 놉의 딸,3.3
15,16,인턴,3.9
16,17,터미네이터 제니시스,3.4
17,18,분노의 질주: 더 세븐,3.9
18,19,스타워즈: 깨어난 포스,3.6
19,20,스물,3.3
20,21,앤트맨,3.9
21,22,극비수사,3.5
22,23,빅 히어로,3.9
23,24,메이즈 러너: 스코치 트라이얼,3.5
24,25,탐정 : 더 비기닝,3.5
25,26,미니언즈,3.5
26,27,스파이,3.9
27,28,강남 1970,3.0
28,29,악의 연대기,3.3
29,30,뷰티 인사이드,3.9
30,31,부산행,3.8
31,32,검사외전,3.7
32,33,캡틴 아메리카: 시빌 워,3.9
33,34,밀정,3.7
34,35,터널,3.6
35,36,럭키,3.7
36,37,곡성(哭聲),3.8
37,38,인천상륙작전,2.8
38,39,닥터 스트레인지,3.9
39,40,덕혜옹주,3.4
40,41,마스터,3.5
41,42,신비한 동물사전,3.7
42,43,주토피아,4.2
43,44,아가씨,3.8
44,45,판도라,2.9
45,46,쿵푸팬더 3,3.4
46,47,데드풀,3.9
47,48,귀향,3.8
48,49,나우 유 씨 미 2,3.9
49,50,엑스맨: 아포칼립스,3.4
50,51,형,3.6
51,52,미스 페레그린과 이상한 아이들의 집,3.5
52,53,정글북,3.4
53,54,제이슨 본,3.6
54,55,도리를 찾아서,3.6
55,56,아수라,3.0
56,57,라라랜드,4.2
57,58,마이펫의 이중생활,3.3
58,59,배트맨 대 슈퍼맨: 저스티스의 시작,2.8
59,60,굿바이 싱글,3.3
60,61,택시운전사,4.1
61,62,신과함께-죄와 벌,3.8
62,63,공조,3.6
63,64,스파이더맨: 홈커밍,4.1
64,65,범죄도시,4.0
65,66,군함도,3.2
66,67,청년경찰,3.8
67,68,더 킹,3.5
68,69,미녀와 야수,3.5
69,70,킹스맨: 골든 서클,3.4
70,71,토르: 라그나로크,3.9
71,72,강철비,3.3
72,73,꾼,2.9
73,74,남한산성,3.6
74,75,미이라,2.7
75,76,분노의 질주: 더 익스트림,3.6
76,77,너의 이름은.,4.0
77,78,아이 캔 스피크,3.9
78,79,캐리비안의 해적: 죽은 자는 말이 없다,3.3
79,80,덩케르크,3.9
80,81,슈퍼배드 3,3.4
81,82,프리즌,3.4
82,83,가디언즈 오브 갤럭시 VOL. 2,3.8
83,84,트랜스포머: 최후의 기사,2.4
84,85,살인자의 기억법,3.4
85,86,보안관,3.3
86,87,조작된 도시,3.4
87,88,슈퍼배드 3,3.4
88,89,보스 베이비,3.4
89,90,박열,3.6
90,91,신과함께-인과 연,3.7
91,92,어벤져스: 인피니티 워,4.0
92,93,보헤미안 랩소디,3.9
93,94,미션 임파서블: 폴아웃,3.7
94,95,쥬라기 월드: 폴른 킹덤,3.2
95,96,앤트맨과 와스프,3.6
96,97,안시성,3.1
97,98,블랙 팬서,3.5
98,99,완벽한 타인,3.8
99,100,독전,3.8
100,101,공작,3.7
101,102,데드풀 2,3.7
102,103,베놈,3.8
103,104,암수살인,3.7
104,105,국가부도의 날,3.6
105,106,아쿠아맨,3.2
106,107,코코,4.0
107,108,그것만이 내 세상,3.7
108,109,마녀,3.4
109,110,그것만이 내 세상,3.7
110,111,서치,3.9
111,112,인크레더블 2,3.7
112,113,너의 결혼식,3.8
113,114,목격자,2.7
114,115,곤지암,3.0
115,116,신비한 동물들과 그린델왈드의 범죄,3.1
116,117,지금 만나러 갑니다,3.9
117,118,레디 플레이어 원,3.6
118,119,조선명탐정: 흡혈괴마의 비밀,2.9
119,120,맘마미아!2,3.6
120,121,극한직업,4.1
121,122,어벤져스: 엔드게임,4.2
122,123,겨울왕국 2,3.6
123,124,알라딘,3.9
124,125,기생충,4.3
125,126,엑시트,4.0
126,127,스파이더맨: 파 프롬 홈,3.8
127,128,백두산,3.4
128,129,캡틴 마블,3.5
129,130,조커,3.9
130,131,라이온 킹,3.4
131,132,봉오동 전투,3.7
132,133,나쁜 녀석들: 더 무비,3.4
133,134,분노의 질주: 홉스&쇼,3.1
134,135,82년생 김지영,3.7
135,136,악인전,3.5
136,137,돈,3.6
137,138,토이 스토리 4,3.9
138,139,가장 보통의 연애,3.1
139,140,말모이,3.8
140,141,시동,2.7
141,142,블랙머니,3.0
142,143,증인,3.8
143,144,터미네이터: 다크 페이트,3.5
144,145,사바하,3.2
145,146,타짜: 원 아이드 잭,2.8
146,147,알리타: 배틀 엔젤,3.4
147,148,신의 한 수 : 귀수편,3.2
148,149,내안의 그놈,3.6
149,150,변신,2.8
